"forecast_summary","today_comment","tomorrow_comment","extended_comment","forecast_summary_es","today_comment_es","tomorrow_comment_es","extended_comment_es"
"Continued GOOD conditions most of the day ","Light haze today","GOOD expected again today","","Condiciones BUENAS continúan durante la mayor parte del día.","Ligera bruma hoy.","Se espera BUENO nuevamente hoy.",""
"Mostly GOOD with today with some MODERATE","GOOD expected for most of the day","Continued GOOD today","","Mayormente BUENO hoy con algo de MODERADO.","Se espera sea BUENO durante la mayor parte del día.","Continuamente BUENO hoy",""
"Conditions should stay in GOOD AQI today","Light haze possible","GOOD AQI continues","","Las condiciones deberían mantenerse en un AQI BUENO hoy.","Posible bruma ligera","La calidad del aire BUENA continúa.",""
"GOOD today with no Rx burns planned in the area","Expect GOOD today","Light haze","","BUENO hoy sin quemas controladas planificadas en el área.","Se espere sea BUENO hoy.","Ligera bruma",""
"Just haze today for this city","Expect GOOD AQI today","Haze today","","Solo bruma hoy para esta ciudad.","Se espera un AQI BUENO hoy.","Bruma hoy",""
"GOOD conditions despite SW transport winds moving minimal smoke over area","Expect GOOD today","GOOD conditions continue","","BUENO aunque vientos de transporte del SO mueven un poco de humo sobre el área.","Se espera sea BUENO hoy.","Las condiciones BUENAS continuarán",""
"N-NE winds will move any smoke away from this community","N-NE winds will keep area clear today","Light smoke output from Shoe Fire will keep area in GOOD","","Los vientos norte-noreste moverán cualquier humo lejos de esta comunidad.","Los vientos norte-noreste mantendrán el área despejada hoy.","La emisión ligera de humo del incendio Shoe mantendrá la zona en BUENO.",""
"Possible occasional MODERATE with local Rx burn near Oak Run today","GOOD expected for most of the day","Continued GOOD today","","Posible ocasional MODERADA con quema local Rx cerca de Oak Run hoy.","Se espera BUENO durante la mayor parte del día.","Continuación BUENO hoy",""
"S-SE then SW winds may cause haze today but no smoke expected","Early AM MODERATE from wood-burning home heating","Light smoke output from Shoe Fire will keep area in GOOD","","Los vientos del S-SE y luego del SW pueden causar neblina hoy, pero no se espera humo.","Temprano en la mañana MODERADA debido a la calefacción doméstica por quema de madera.","La ligera emisión de humo del Incendio Shoe mantendrá la zona en BUENO.",""
"Mostly GOOD with possible MODERATE from 10AM-3PM from Rx burn SW of area","Rx burn may impact local AQI today","GOOD expected again today","","Mayormente BUENO con posible MODERADA de 10AM a 3PM debido a quema controlada al suroeste del área.","La quema controlada puede impactar el Índice de Calidad del Aire (AQI) local hoy.","Se espera BUENO nuevamente hoy.",""
"Conditions should stay in GOOD AQI today - possible smoke from Rx burn near Oak Run","Smoke possible late morning-early afternoon from Rx burn near Oak Run","GOOD AQI continues","","Las condiciones deberían mantenerse en un AQI BUENO hoy - posible humo de quema controlada cerca de Oak Run.","Es posible que haya humo a última hora de la mañana y a primera hora de la tarde debido a una quema controlada cerca de Oak Run.","El AQI BUENO continúa.",""
"Clear conditions today","Expect GOOD AQI today","Continued clear","","Condiciones claras hoy","Espere AQI BUENO hoy.","Continuado claro",""
"GOOD today with possible haze from agricultural burns south of area","Expect GOOD today","Light haze","","BUENO hoy con posible neblina debido a quemas agrícolas al sur del área.","Espere BUENO hoy.","Ligera neblina",""
"GOOD AQI expected throughout the day","GOOD expected for most of the day","Continued GOOD today","","Se espera un AQI BUENO durante todo el día.","Se espera BUENO durante la mayor parte del día.","Continuamente BUENO hoy",""
"Clear conditions today","Expect GOOD AQI today","Continued clear","","Condiciones despejadas hoy.","Espere un AQI BUENO hoy.","Continuado claro",""
"Early AM MODERATE expected with afternoon clearing into GOOD","Expect GOOD today","GOOD continues today","GOOD AQI","Se espera una calidad del aire MODERADA en la mañana temprano con una mejora a BUENO en la tarde.","Espere BUENO hoy.","BUENO continúa hoy","AQI BUENO"
"GOOD conditions despite SW transport winds moving minimal smoke over area","Mostly GOOD today - light haze","GOOD conditions continue","","Condiciones BUENAS a pesar de los vientos de transporte del suroeste que mueven humo mínimo sobre el área.","Mayormente BUENO hoy - ligera neblina","Las condiciones BUENAS continúan",""
"GOOD AQI today","Expect GOOD today - early AM MODERATE with inversion","AQI conditions remain favorable","GOOD AQI continues","AQI BUENO hoy","Espere BUENO hoy - temprano en la mañana MODERADA con inversión.","Las condiciones del Índice de Calidad del Aire (AQI) siguen siendo favorables.","La calidad del aire BUENO continúa."
"Mostly GOOD today","Expect clear conditions","GOOD expected again today","","Mayormente BUENO hoy.","Espere condiciones claras.","Se espera BUENO nuevamente hoy.",""
"Mostly GOOD today","Expect clear conditions","GOOD expected again today","","Mayormente BUENO hoy.","Se esperan condiciones despejadas.","Se espera BUENO nuevamente hoy.",""
"Clear conditions today","Expect GOOD AQI today","Continued clear","","Condiciones despejadas hoy.","Se espera un AQI BUENO hoy.","Continua despejado",""
"GOOD AQI today","Expect GOOD today - early AM MODERATE with inversion","AQI conditions remain favorable","GOOD AQI continues","AQI BUENO hoy","Se espera BUENO hoy - temprano en la mañana MODERADA con inversión.","Las condiciones del Índice de Calidad del Aire (AQI) siguen siendo favorables.","Continua el AQI BUENO continúa."
"GOOD conditions despite SW transport winds moving minimal smoke over area","Mostly GOOD today - light haze","GOOD conditions continue","","Condiciones BUENAS a pesar de los vientos de transporte del suroeste que mueven un poco de humo sobre el área.","Mayormente BUENO hoy - ligera bruma","Las condiciones BUENAS continúan",""
"GOOD AQI expected throughout the day","GOOD expected for most of the day","Continued GOOD today","","Se espera un AQI BUENO durante todo el día.","Se espera BUENO durante la mayor parte del día.","Continuamente BUENO hoy",""
"Expect GOOD today with rain onset","Expect GOOD today","GOOD continues today","GOOD AQI","Se espera sea BUENO hoy con el inicio de lluvia.","Se espera sea BUENO hoy.","Continuará en BUENO hoy","AQI BUENO"
"Expect GOOD today","Clear conditions","Clear conditions continue","","Se espera sea BUENO hoy","Condiciones despejadas","Las condiciones despejadas continuarán.",""
"Early AM MODERATE expected with afternoon clearing into GOOD","Expect GOOD today","GOOD continues today","GOOD AQI","Se espera una calidad del aire MODERADA en la mañana temprano con una mejora a BUENO en la tarde.","Se espera BUENO hoy.","Continúa en BUENO hoy","AQI BUENO"
"Mostly GOOD today","Expect clear conditions","GOOD expected again today","","Mayormente BUENO hoy.","Se esperan condiciones despejadas.","Se espera BUENO nuevamente hoy.",""
"Early AM MODERATE expected with afternoon clearing into GOOD","Expect GOOD today","GOOD continues today","GOOD AQI","MODERADO en la mañana temprano con una mejora a BUENO en la tarde.","Se espera BUENO hoy.","Continúa en BUENO hoy","AQI BUENO"
"GOOD conditions despite SW transport winds moving minimal smoke over area","Mostly GOOD today - light haze","GOOD conditions continue","","BUENO a pesar de vientos de transporte del SO que mueven poco humo sobre el área.","Mayormente BUENO hoy - ligera bruma","Las condiciones BUENAS continúan",""
"GOOD AQI expected throughout the day","GOOD expected for most of the day","Continued GOOD today","","Se espera un AQI BUENO durante todo el día.","Se espera BUENO durante la mayor parte del día.","Continuamente BUENO hoy",""
"Clear conditions today","Expect GOOD AQI today","Continued clear","","Condiciones despejadas hoy.","Se espera un AQI BUENO hoy.","Continua despejado",""
"GOOD AQI today","Expect GOOD today - early AM MODERATE with inversion","AQI conditions remain favorable","GOOD AQI continues","AQI BUENO hoy","Se espera BUENO hoy - temprano en la mañana MODERADA con inversión.","Las condiciones del Índice de Calidad del Aire (AQI) siguen siendo favorables.","Continua el AQI BUENO continúa."
"Mostly GOOD today","Expect clear conditions","GOOD expected again today","","Mayormente BUENO hoy.","Se esperan condiciones despejadas.","Se espera BUENO nuevamente hoy.",""
"Clear conditions today","Expect GOOD AQI today","Continued clear","","Condiciones despejadas hoy.","Se espera un AQI BUENO hoy.","Continua despejado",""
"Early AM MODERATE expected with afternoon clearing into GOOD","Expect GOOD today","GOOD continues today","GOOD AQI","MODERADO en la mañana temprano con una mejora a BUENO en la tarde.","Se espera BUENO hoy.","Continúa en BUENO hoy","AQI BUENO"
"GOOD AQI today","Expect GOOD today - early AM MODERATE with inversion","AQI conditions remain favorable","GOOD AQI continues","AQI BUENO hoy","Se espera BUENO hoy - temprano en la mañana MODERADA con inversión.","Las condiciones del Índice de Calidad del Aire (AQI) siguen siendo favorables.","Continua el AQI BUENO continúa."
"GOOD conditions despite SW transport winds moving minimal smoke over area","Mostly GOOD today - light haze","GOOD conditions continue","","BUENO a pesar de vientos de transporte del SO que mueven poco humo sobre el área.","Mayormente BUENO hoy - ligera bruma","Las condiciones BUENAS continúan",""
"GOOD AQI expected throughout the day","GOOD expected for most of the day","Continued GOOD today","","Se espera un AQI BUENO durante todo el día.","Se espera BUENO durante la mayor parte del día.","Continuamente BUENO hoy",""
"Expect GOOD today with rain onset","Expect GOOD today","GOOD continues today","GOOD AQI","Espere BUENO hoy con inicio de lluvia.","Espere BUENO hoy.","BUENO continúa hoy","AQI BUENO"
"Clear conditions today","Expect GOOD AQI today","Continued clear","","Condiciones claras hoy.","Espere AQI BUENO hoy.","Continuamente claro",""
